uid,daily_act_inf
u00,0.113476331725
u01,0.0863504092677
u02,0.0600601419692
u03,0.013002190063
u04,0.141578491239
u05,0.040194782214
u07,0.0663426933113
u08,0.078658120343
u09,0.0703294062661
u10,0.0476036025455
u12,0.0519954033442
u13,0.0462586221287
u14,0.0927868338036
u15,0.0436531428395
u16,0.0520097086779
u17,0.0364227140679
u18,0.0325886358343
u19,0.0395957387448
u20,0.0285407582107
u22,0.0622915225344
u23,0.024234303278
u24,0.0659472420409
u25,0.081183874533
u27,0.0341264318644
u30,0.0758272787649
u31,0.0510416054638
u32,0.0880099398271
u33,0.0516668800058
u34,0.0525263932638
u35,0.0436593575577
u36,0.0826670982956
u39,0.00504596682019
u41,0.0378109011175
u42,0.0280026459641
u43,0.0656622285198
u44,0.0185154589827
u45,0.029034358151
u46,0.150510918882
u47,0.0348031300102
u49,0.0577448190947
u50,0.0147196313877
u51,0.088569525878
u52,0.272167656693
u53,0.023233709237
u54,0.0757914540576
u56,0.0572617208948
u57,0.120243261169
u58,0.0463740812132
u59,0.118411424913
